subj_id,NatNess,measure,sentID
R_cHiCbzLrQrYeizP,5,Natural,3
R_3fQa4YiudlrrSLd,5,Natural,3
R_z0gtYvawsJg834J,2,Natural,3
R_2SvKoXHDxtivA4o,4,Natural,3
R_CeG821dsnmsmiZP,4,Natural,3
R_3MG93Py9LV1lYqI,5,Natural,3
R_UrtVng9RxUYqodr,5,Natural,3
R_yjxZCpumE2JuLwR,5,Natural,3
R_eOEX0Ye1lmhGlyl,5,Natural,3
R_cCLhtJmTS5XidYl,5,Natural,3
R_vZ75WKEQFz64rIt,4,Natural,3
R_1Nzi2lWnM0CO3kn,5,Natural,3
R_2tu71tqKKoKbfJ0,4,Natural,3
R_2PdQi8meHWRd7Fb,5,Natural,3
R_3PaHNs19NCzMVbu,5,Natural,3
R_CjK7Ok90OSXQ3XH,5,Natural,3
R_1lgEwIKXFHGT01V,5,Natural,3
R_2qq1JLwmdrdJM9d,3,Natural,3
R_ZrTEV9TpypUZEC5,5,Natural,3
R_3Gq55dSXHC6ANc8,5,Natural,3
R_3D8b4ozl4q217Ie,5,Natural,3
R_qV03fIB34drHELn,5,Natural,3
R_1mRh44rpwMf0PbH,5,Natural,3
R_3gNkgaxQ9C21dQW,5,Natural,3
R_21umvRGJCCZXoit,3,Natural,3
R_BKctGx9a1Hi7w4h,4,Natural,4
R_u2ffULg0uVmoetj,5,Natural,4
R_2vf9l3GOwanVBOH,5,Natural,4
R_OqjAwL4brYESqul,3,Natural,4
R_1LG8FwYsk4Xgq61,5,Natural,4
R_2wQZuV97sKRkDfp,5,Natural,4
R_2dsf9d9zlzEbaRw,4,Natural,4
R_3j0ZzVXSe6NB0v0,5,Natural,4
R_2SqwKT4bUhZVaYX,2,Natural,4
R_6yuZ6GaDGqciNE1,4,Natural,4
R_22DGKB9Dz59SJIt,5,Natural,4
R_5iDE07CUBSNZdqF,4,Natural,4
R_2w61flKU0TAtmrX,3,Natural,4
R_2Y4gtCNHITcznSw,5,Natural,4
R_2qDHMLvHLCvMWMS,5,Natural,4
R_bg7cQUV93CWU245,5,Natural,4
R_2OTJk9jZohSfhSm,4,Natural,4
R_pGZjTA8wFerMwcV,5,Natural,4
R_ypTZBjEyvsMpFG9,5,Natural,4
R_2YkUceTXXRwe7af,4,Natural,4
R_3D2u0Wq74kM9j2C,5,Natural,4
R_2Pv6m5XVNiv6pPQ,5,Natural,4
R_T1l2TIrq1do7Orn,4,Natural,4
R_9KphKBeCPmqzBCl,4,Natural,4
R_3qKjZplc0t8Y2IU,3,Natural,4
R_4GA7uQFTqbGKnlf,4,Natural,4
R_1hEVfCsYXJCzsVp,3,Natural,4
R_cHiCbzLrQrYeizP,5,Natural,4
R_3fQa4YiudlrrSLd,5,Natural,4
R_z0gtYvawsJg834J,5,Natural,4
R_2SvKoXHDxtivA4o,5,Natural,4
R_CeG821dsnmsmiZP,3,Natural,4
R_3MG93Py9LV1lYqI,4,Natural,4
R_UrtVng9RxUYqodr,5,Natural,4
R_yjxZCpumE2JuLwR,5,Natural,4
R_eOEX0Ye1lmhGlyl,5,Natural,4
R_cCLhtJmTS5XidYl,5,Natural,4
R_vZ75WKEQFz64rIt,4,Natural,4
R_1Nzi2lWnM0CO3kn,4,Natural,4
R_2tu71tqKKoKbfJ0,3,Natural,4
R_2PdQi8meHWRd7Fb,3,Natural,4
R_3PaHNs19NCzMVbu,5,Natural,4
R_CjK7Ok90OSXQ3XH,5,Natural,4
R_1lgEwIKXFHGT01V,5,Natural,4
R_2qq1JLwmdrdJM9d,5,Natural,4
R_ZrTEV9TpypUZEC5,5,Natural,4
R_3Gq55dSXHC6ANc8,5,Natural,4
R_3D8b4ozl4q217Ie,4,Natural,4
R_qV03fIB34drHELn,4,Natural,4
R_1mRh44rpwMf0PbH,5,Natural,4
R_3gNkgaxQ9C21dQW,5,Natural,4
R_21umvRGJCCZXoit,4,Natural,4
R_BKctGx9a1Hi7w4h,5,Natural,5
R_u2ffULg0uVmoetj,5,Natural,5
R_2vf9l3GOwanVBOH,5,Natural,5
R_OqjAwL4brYESqul,3,Natural,5
R_1LG8FwYsk4Xgq61,5,Natural,5
R_2wQZuV97sKRkDfp,5,Natural,5
R_2dsf9d9zlzEbaRw,5,Natural,5
R_3j0ZzVXSe6NB0v0,5,Natural,5
R_2SqwKT4bUhZVaYX,5,Natural,5
R_6yuZ6GaDGqciNE1,5,Natural,5
R_22DGKB9Dz59SJIt,3,Natural,5
R_5iDE07CUBSNZdqF,4,Natural,5
R_2w61flKU0TAtmrX,5,Natural,5
R_2Y4gtCNHITcznSw,5,Natural,5
R_2qDHMLvHLCvMWMS,5,Natural,5
R_bg7cQUV93CWU245,4,Natural,5
R_2OTJk9jZohSfhSm,4,Natural,5
R_pGZjTA8wFerMwcV,5,Natural,5
R_ypTZBjEyvsMpFG9,5,Natural,5
R_2YkUceTXXRwe7af,4,Natural,5
R_3D2u0Wq74kM9j2C,5,Natural,5
R_2Pv6m5XVNiv6pPQ,5,Natural,5
R_T1l2TIrq1do7Orn,4,Natural,5
R_9KphKBeCPmqzBCl,5,Natural,5
R_3qKjZplc0t8Y2IU,5,Natural,5
R_4GA7uQFTqbGKnlf,5,Natural,5
R_1hEVfCsYXJCzsVp,4,Natural,5
R_cHiCbzLrQrYeizP,5,Natural,5
R_3fQa4YiudlrrSLd,5,Natural,5
R_z0gtYvawsJg834J,5,Natural,5
R_2SvKoXHDxtivA4o,4,Natural,5
R_CeG821dsnmsmiZP,5,Natural,5
R_3MG93Py9LV1lYqI,5,Natural,5
R_UrtVng9RxUYqodr,5,Natural,5
R_yjxZCpumE2JuLwR,5,Natural,5
